Position,"Track Name",Artist,URL
1,"Heartbreak Anniversary",Giveon,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
2,Tomboy,"Destiny Rogers",https://open.spotify.com/track/5Ti3fqGTfjUsSdylFNy0Ng
3,"หน้าร้อน (Summer)",CORNBOI,https://open.spotify.com/track/00hpozFur43iV7X6nJXWmO
4,วิ่งหนีออกไปด้วยความไวสองมัค,Ayla,https://open.spotify.com/track/7pWOWr4iOKwXItYt7CeBG8
5,ต้องชอบแค่ไหน,Pretzelle,https://open.spotify.com/track/5MZwRe4ZpXTuhpM8hhhsv8
6,247,LUSS,https://open.spotify.com/track/7AQFhodzN09DtXGiIDtFrd
7,"Like 1999",Valley,https://open.spotify.com/track/3aHYf6AXlWujDG9CzzT95i
8,"ถ้าฉันหายไป (จะหายเหนื่อยไหม)",Jeanius,https://open.spotify.com/track/1xua7pcFsyzsTlFrlL0pvp
9,"Thai Tea","Benjamin Varney",https://open.spotify.com/track/24rdT3Sknu1E4o5LqPeyBe
10,"อย่าเป็นฉันเลย Tyrion","Uncle Ben",https://open.spotify.com/track/1khnGTGPtxEM6hczBQeC99
11,SugarCrash!,ElyOtto,https://open.spotify.com/track/3FxPbp05KjMBa4HbhAJTH0
12,Weak,"Larissa Lambert",https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
13,Extraordinary,"Anatomy Rabbit",https://open.spotify.com/track/19CoWVqDyUbiqxoyMf4HkJ
14,ทีหลังจะรักใครก็ดูให้ดีก่อน,wish,https://open.spotify.com/track/0FtU5XK2S0hitcwMKlkEvd
15,แค่ฝันไป,"Whal & Dolph",https://open.spotify.com/track/6odrQWsbCEeOZ8gptITc2i
16,Rollin',"Brave Girls",https://open.spotify.com/track/2VJOpzv5sBpstCX9venJr5
17,Sixteen,"Oscar Welsh",https://open.spotify.com/track/3xjEUnWvRNGuJI71KgdPm1
18,ดวงเดือน,"JOEY PHUWASIT",https://open.spotify.com/track/2PzmnpdTBnmanKnnuMzOEf
19,อยู่คนเดียว,Wanyai,https://open.spotify.com/track/04BVwXNoTsEKZmj14Vm5HM
20,"Sad Movie",F.HERO,https://open.spotify.com/track/1nenRWbemVvsxnxg296eFB
21,"หินหยดลงน้ำ (Adore)",YENTED,https://open.spotify.com/track/4UxLtPL9aOHTz8XiVJsthQ
22,"Astronaut In The Ocean","Masked Wolf",https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
23,telepatía,"Kali Uchis",https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
24,เพื่อนกันวันสุดท้าย,Punch,https://open.spotify.com/track/2io8E8xthslMnOeXRJX01R
25,เรื่องราวที่เราเขียน,DRG,https://open.spotify.com/track/6IryMah2s58s7hifN2NLPH
26,สวัสดีความรัก,"แซนดี้ ญาณิศา",https://open.spotify.com/track/35c6FdyS5KwQVqoFDxRjya
27,Runaway,AURORA,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
28,ตอนเด็กอยากโตโตมาอยากตาย,Highhot,https://open.spotify.com/track/43d0TKGIsmKYMri5pR2DIq
29,แอบหวัง,"Anatomy Rabbit",https://open.spotify.com/track/0LLETxISOeZVam4l0RwcpV
30,"Beginning Middle End - From The Netflix Film ""To All The Boys: Always and Forever""","Leah Nobel",https://open.spotify.com/track/2kFHjWko1il6O9L3eK9IzG
31,"บ้านพี่สกลหนาวเเล้ว feat .ท้าวคำสิงห์ , ขยะหน้าต้นไม้","MAN'R , BEARING",https://open.spotify.com/track/0EQeDyFK8djZ0zffb1OgD6
32,"At My Worst","Pink Sweat$",https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
33,"I'm not Pretty",JESSIA,https://open.spotify.com/track/3promGTTwsn1N5D6RzaFMV
34,จีบ,Qler,https://open.spotify.com/track/5bvgLLWn7IFu6mOa46XaoV
35,Arcade,"Duncan Laurence",https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
36,Tokyo,Leat'eq,https://open.spotify.com/track/5GRf6zSrCi8gErdN6CyRJT
37,ไม่ใช่ไม่รู้สึก,"Tom Isara",https://open.spotify.com/track/1omAPMClfzdHs8LnRt9rOI
38,"Calling My Phone","Lil Tjay",https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
39,"One in a Million","Mark Tuan",https://open.spotify.com/track/1dkhx3oH7UVYnWaVCPSQY7
40,ถ้าเธอรักฉันจริง,"Three Man Down",https://open.spotify.com/track/2vA7CHG08LDzeMDAuPnUQg
41,Roses,"Finn Askew",https://open.spotify.com/track/7h5JV2j5wEwMP2hQE12Nk4
42,คิดถึงปีที่มีเธอ,wish,https://open.spotify.com/track/37zyU4OdDUj1ZsoMB15wpc
43,"Are You out yet ?","Anatomy Rabbit",https://open.spotify.com/track/26aQ0VXKHzPqu3aA3RWm8q
44,Summertime,YEW,https://open.spotify.com/track/0ZcyX8hFV1jdJNWOI8mMXF
45,เพลงของเธอ,Monday,https://open.spotify.com/track/7qCr3Rho3baomkIaFe9IPg
46,Sunkissed,Urworld,https://open.spotify.com/track/52h8p62Jx8KzQynM6heq7n
47,หลงรัก,Newery,https://open.spotify.com/track/7I2Bjzi60jFT1upSTDhHkB
48,"Save Your Tears","The Weeknd",https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
49,"ในห้วงเวลา (Stars Clock)","Cosmic Matters",https://open.spotify.com/track/7lky5S2lE0LaqniXWJQ54G
50,การหลบหนี,Hackr,https://open.spotify.com/track/21x2inZPzLaBpJwQTtmUnH
